latitude,longitude,temperature_c,salinity_ppt,timestamp
25.9119211,-80.13725058,26.60000038,49.43,2021-12-16 14:22:54
25.91192939,-80.13725184,26.60000038,49.43,2021-12-16 14:22:55
25.91193799,-80.1372527,26.60000038,49.42,2021-12-16 14:22:57
25.91194673,-80.1372539,26.60000038,49.42,2021-12-16 14:22:57
25.91195511,-80.1372544,26.60000038,49.41,2021-12-16 14:22:58
25.91196225,-80.13725366,26.60000038,49.42,2021-12-16 14:22:59
25.911969,-80.1372512,26.60000038,49.39,2021-12-16 14:23:01
25.91197582,-80.13724992,26.60000038,49.39,2021-12-16 14:23:01
25.91198067,-80.13724836,26.60000038,49.38,2021-12-16 14:23:02
25.91198718,-80.13724631,26.60000038,49.39,2021-12-16 14:23:04
25.91199182,-80.13724422,26.60000038,49.39,2021-12-16 14:23:04
25.9119965,-80.13724145,26.60000038,49.39,2021-12-16 14:23:05
25.91200269,-80.13723796,26.70000076,49.37,2021-12-16 14:23:07
25.91200735,-80.13723545,26.70000076,49.37,2021-12-16 14:23:07
25.91201165,-80.13723253,26.60000038,49.35,2021-12-16 14:23:08
25.91201542,-80.13722932,26.70000076,49.38,2021-12-16 14:23:10
25.91202,-80.13722677,26.70000076,49.38,2021-12-16 14:23:10
25.91202476,-80.13722472,26.70000076,49.36,2021-12-16 14:23:11
25.9120293,-80.1372234,26.70000076,49.33,2021-12-16 14:23:13
25.91203394,-80.13722159,26.70000076,49.33,2021-12-16 14:23:13
25.91203848,-80.13721948,26.70000076,49.35,2021-12-16 14:23:14
25.91204362,-80.13721669,26.70000076,49.35,2021-12-16 14:23:16
25.91204829,-80.13721495,26.70000076,49.35,2021-12-16 14:23:16
25.91205294,-80.13721369,26.70000076,49.36,2021-12-16 14:23:17
25.91205764,-80.1372127,26.70000076,49.32,2021-12-16 14:23:19
25.91206221,-80.13721252,26.70000076,49.32,2021-12-16 14:23:19
25.9120666,-80.13721246,26.70000076,49.32,2021-12-16 14:23:20
25.91207103,-80.13721307,26.70000076,49.33,2021-12-16 14:23:22
25.91207621,-80.13721445,26.70000076,49.33,2021-12-16 14:23:22
25.91208059,-80.13721574,26.70000076,49.33,2021-12-16 14:23:23
25.91208524,-80.13721714,26.70000076,49.33,2021-12-16 14:23:25
25.91208959,-80.13721902,26.70000076,49.33,2021-12-16 14:23:25
25.91209513,-80.1372213,26.70000076,49.33,2021-12-16 14:23:26
25.91210048,-80.13722343,26.70000076,49.32,2021-12-16 14:23:28
25.91210478,-80.13722601,26.70000076,49.32,2021-12-16 14:23:28
25.9121096,-80.13722884,26.70000076,49.33,2021-12-16 14:23:29
25.9121148,-80.13723179,26.70000076,49.33,2021-12-16 14:23:30
25.91211897,-80.13723481,26.70000076,49.33,2021-12-16 14:23:32
25.91212352,-80.13723755,26.70000076,49.33,2021-12-16 14:23:32
25.91212819,-80.13724058,26.70000076,49.34,2021-12-16 14:23:33
25.91213235,-80.13724376,26.70000076,49.32,2021-12-16 14:23:35
25.91213686,-80.13724634,26.70000076,49.32,2021-12-16 14:23:35
25.91214132,-80.13724955,26.70000076,49.32,2021-12-16 14:23:36
25.91214638,-80.13725289,26.70000076,49.32,2021-12-16 14:23:37
25.91215146,-80.13725624,26.70000076,49.31,2021-12-16 14:23:39
25.91215611,-80.13725915,26.70000076,49.31,2021-12-16 14:23:39
25.91215997,-80.13726132,26.70000076,49.3,2021-12-16 14:23:40
25.91216378,-80.13726391,26.70000076,49.3,2021-12-16 14:23:42
25.91216888,-80.13726701,26.70000076,49.3,2021-12-16 14:23:42
25.91217329,-80.13726997,26.70000076,49.3,2021-12-16 14:23:43
25.91217712,-80.13727206,26.70000076,49.3,2021-12-16 14:23:44
25.91218164,-80.13727471,26.70000076,49.3,2021-12-16 14:23:46
25.91218474,-80.13727747,26.70000076,49.3,2021-12-16 14:23:46
25.91218982,-80.13728051,26.70000076,49.31,2021-12-16 14:23:47
25.91219367,-80.13728249,26.70000076,49.29,2021-12-16 14:23:49
25.91219881,-80.13728518,26.70000076,49.29,2021-12-16 14:23:49
25.91220357,-80.13728726,26.70000076,49.27,2021-12-16 14:23:50
25.91220793,-80.13728937,26.70000076,49.28,2021-12-16 14:23:52
25.91221253,-80.13729228,26.70000076,49.28,2021-12-16 14:23:53
25.91221746,-80.13729474,26.70000076,49.27,2021-12-16 14:23:54
25.91222233,-80.13729711,26.70000076,49.27,2021-12-16 14:23:55
25.91222698,-80.13729953,26.70000076,49.28,2021-12-16 14:23:56
25.91223154,-80.13730215,26.70000076,49.28,2021-12-16 14:23:57
25.91223637,-80.13730467,26.70000076,49.27,2021-12-16 14:23:58
25.91224086,-80.13730712,26.70000076,49.25,2021-12-16 14:23:59
25.91224446,-80.13730904,26.70000076,49.26,2021-12-16 14:24:00
25.91224928,-80.13731201,26.70000076,49.25,2021-12-16 14:24:01
25.91225405,-80.13731489,26.70000076,49.25,2021-12-16 14:24:02
25.91225845,-80.13731782,26.70000076,49.26,2021-12-16 14:24:03
